Agemos,L,M,S,P3,P10,P25,P50,P75,P90,P97
182.5,-2.047408604,20.02195192,0.15030344,16.01922586,17.02112198,18.25996492,20.02195192,22.43128425,25.578966,30.54255145
183.5,-2.05392949,20.06704377,0.150193169,16.05965792,17.06249925,18.30269107,20.06704377,22.4807154,25.63655753,30.62053368
184.5,-2.060616513,20.11172291,0.150079322,16.09989799,17.10362501,18.34509539,20.11172291,22.52963484,25.69357313,30.69807493
185.5,-2.067462375,20.15598047,0.149962308,16.13992859,17.14448385,18.38716515,20.15598047,22.57803895,25.75001608,30.77519152
186.5,-2.074459502,20.19980767,0.14984254,16.17973203,17.18506029,18.42888762,20.19980767,22.62592435,25.80589011,30.85190042
187.5,-2.081600029,20.24319586,0.149720441,16.21929043,17.22533871,18.47025003,20.24319586,22.67328797,25.86119939,30.92821925
188.5,-2.088875793,20.28613648,0.149596434,16.25858573,17.26530336,18.5112396,20.28613648,22.72012699,25.91594853,31.00416621
189.5,-2.096278323,20.32862109,0.149470953,16.29759966,17.30493841,18.55184353,20.32862109,22.76643886,25.97014258,31.07976017
190.5,-2.103798828,20.37064138,0.149344433,16.33631375,17.34422789,18.592049,20.37064138,22.81222132,26.02378703,31.15502058
191.5,-2.111428194,20.41218911,0.149217319,16.37470935,17.38315572,18.63184317,20.41218911,22.85747235,26.07688783,31.22996756
192.5,-2.119156972,20.45325617,0.14909006,16.4127676,17.4217057,18.67121316,20.45325617,22.90219024,26.12945136,31.30462183
193.5,-2.126975375,20.49383457,0.14896311,16.45046946,17.4598615,18.7101461,20.49383457,22.94637354,26.18148447,31.37900471
194.5,-2.134873266,20.5339164,0.148836931,16.48779567,17.49760671,18.74862906,20.5339164,22.99002104,26.23299442,31.45313817
195.5,-2.142840157,20.57349387,0.148711989,16.52472682,17.53492476,18.78664912,20.57349387,23.03313184,26.28398896,31.5270448
196.5,-2.150865204,20.61255929,0.148588757,16.56124326,17.57179899,18.82419331,20.61255929,23.07570528,26.33447627,31.6007478
197.5,-2.158937201,20.65110506,0.148467715,16.59732518,17.60821261,18.86124863,20.65110506,23.11774099,26.38446498,31.67427098
198.5,-2.167044578,20.6891237,0.148349348,16.63295257,17.64414872,18.89780209,20.6891237,23.15923885,26.43396418,31.74763877
199.5,-2.175176987,20.72660728,0.14823412,16.6681059,17.67959061,18.93384056,20.72660728,23.2001981,26.48298259,31.8208776
200.5,-2.183317362,20.76355011,0.148122614,16.70276277,17.71452019,18.96935117,20.76355011,23.24062188,26.53153263,31.89400908
201.5,-2.191457792,20.79994337,0.148015249,16.73690461,17.74892115,19.00432062,20.79994337,23.28050814,26.57962232,31.96706354
202.5,-2.199583649,20.83578051,0.147912564,16.77050999,17.78277581,19.03873583,20.83578051,23.31985872,26.62726338,32.04006655
203.5,-2.207681525,20.87105449,0.147815078,16.80355796,17.81606667,19.07258364,20.87105449,23.35867482,26.67446717,32.11304561
204.5,-2.215737645,20.90575839,0.147723315,16.83602739,17.8487761,19.10585083,20.90575839,23.39695789,26.7212455,32.18602887
205.5,-2.223739902,20.93988477,0.147637768,16.86789789,17.88088689,19.13852417,20.93988477,23.43470854,26.76760965,32.25904682
206.5,-2.231667995,20.97342858,0.147559083,16.89914528,17.91237975,19.1705904,20.97342858,23.4719319,26.81357526,32.33212376
207.5,-2.239511942,21.00638171,0.147487716,16.92975012,17.9432379,19.20203617,21.00638171,23.50862756,26.85915312,32.40529387
208.5,-2.247257081,21.0387374,0.14742421,16.95969079,17.97344339,19.23284815,21.0387374,23.54479768,26.90435663,32.47858818
209.5,-2.254885145,21.07048996,0.147369174,16.98894397,18.00297732,19.26301292,21.07048996,23.58044651,26.94920132,32.55203545
210.5,-2.26238209,21.10163241,0.147323144,17.01748828,18.03182181,19.29251705,21.10163241,23.61557603,26.9937009,32.62566902
211.5,-2.269731517,21.13215845,0.147286698,17.0453012,18.05995835,19.32134706,21.13215845,23.65018962,27.03787056,32.69952105
212.5,-2.276917229,21.16206171,0.147260415,17.07236026,18.08736842,19.34948942,21.16206171,23.68429059,27.08172575,32.77362474
213.5,-2.283925442,21.1913351,0.147244828,17.09864412,18.11403409,19.37693055,21.1913351,23.71788103,27.12528094,32.84801632
214.5,-2.290731442,21.21997472,0.147240683,17.12412619,18.13993458,19.4036568,21.21997472,23.75096919,27.16855668,32.92272296
215.5,-2.29732427,21.24797262,0.147248467,17.14878634,18.16505254,19.4296545,21.24797262,23.78355579,27.21156668,32.9977851
216.5,-2.303687802,21.27532239,0.14726877,17.17260194,18.18936927,19.45490996,21.27532239,23.81564452,27.25432769,33.07323931
217.5,-2.309799971,21.30201933,0.147302299,17.19554744,18.21286444,19.47940934,21.30201933,23.84724252,27.29685999,33.14911749
218.5,-2.315651874,21.32805489,0.147349514,17.21760352,18.23552108,19.50313889,21.32805489,23.8783497,27.33917721,33.22546443
219.5,-2.32121731,21.35342563,0.147411215,17.23874246,18.25731763,19.52608462,21.35342563,23.90897582,27.38130268,33.30230965
220.5,-2.326481911,21.37812462,0.147487979,17.25894211,18.27823552,19.54823263,21.37812462,23.93912415,27.42325378,33.37969431
221.5,-2.331428139,21.40214589,0.147580453,17.2781787,18.29825524,19.5695689,21.40214589,23.96879993,27.46505002,33.45765732
222.5,-2.336038473,21.42548351,0.147689289,17.29642829,18.31735722,19.59007937,21.42548351,23.99800858,27.50671138,33.53623826
223.5,-2.34029545,21.44813156,0.14781515,17.31366688,18.33552175,19.60974989,21.44813156,24.02675569,27.54825824,33.61547736
224.5,-2.344181703,21.47008412,0.147958706,17.32987032,18.35272903,19.62856629,21.47008412,24.05504702,27.58971144,33.69541553
225.5,-2.34768,21.49133529,0.148120633,17.34501435,18.36895919,19.64651429,21.49133529,24.08288851,27.63109226,33.77609435
226.5,-2.350773286,21.51187918,0.148301619,17.35907462,18.38419225,19.66357958,21.51187918,24.11028624,27.67242239,33.8575561
227.5,-2.353444725,21.53170989,0.148502355,17.37202667,18.39840811,19.67974776,21.53170989,24.13724646,27.71372396,33.93984372
228.5,-2.355677743,21.55082155,0.148723546,17.38384594,18.41158663,19.69500438,21.55082155,24.16377555,27.75501954,34.02300086
229.5,-2.35745607,21.56920824,0.148965902,17.39450778,18.42370753,19.70933491,21.56920824,24.18988006,27.7963321,34.10707184
230.5,-2.358763788,21.58686406,0.149230142,17.40398745,18.43475047,19.72272474,21.58686406,24.21556667,27.83768505,34.1921017
231.5,-2.359585369,21.60378309,0.149516994,17.41226013,18.44469501,19.73515921,21.60378309,24.24084219,27.87910223,34.27813617
232.5,-2.359905726,21.61995939,0.149827195,17.41930091,18.45352064,19.74662357,21.61995939,24.26571357,27.92060786,34.3652217
233.5,-2.359710258,21.635387,0.150161492,17.42508482,18.46120675,19.757103,21.635387,24.29018788,27.9622266,34.45340544
234.5,-2.358980464,21.65006126,0.150520734,17.42958448,18.46773133,19.76658246,21.65006126,24.31427499,28.00398629,34.54273066
235.5,-2.357714508,21.6639727,0.150905439,17.43278087,18.47307706,19.77504736,21.6639727,24.33797514,28.04590512,34.6332581
236.5,-2.355892424,21.67711736,0.151316531,17.43464513,18.47722102,19.78248242,21.67711736,24.3613,28.08801335,34.72502979
237.5,-2.353501353,21.68948935,0.151754808,17.43515168,18.48014209,19.78887249,21.68948935,24.3842575,28.13033767,34.81809511
238.5,-2.350528726,21.70108288,0.152221086,17.43427465,18.48181892,19.79420232,21.70108288,24.40685591,28.17290543,34.91250374
239.5,-2.346962247,21.71189225,0.152716206,17.43198786,18.48222995,19.79845655,21.71189225,24.42910393,28.21574476,35.00830552
240,-2.34495843,21.71699934,0.152974718,17.43031075,18.48195582,19.80017572,21.71699934,24.44009565,28.23727135,35.05675093
240.5,-2.342796948,21.72190973,0.153240872,17.42826863,18.48135557,19.80161999,21.72190973,24.45100622,28.25887983,35.10555822
